Kansas,Connecticut,Maryland,California,Arizona,Miami FL,Temple,Villanova,Virginia,Texas Tech,Purdue,Iowa St,Seton Hall,Utah,Syracuse,Michigan St,Oregon,St Joseph's PA,Baylor,Duke,Texas,Texas A&M,VA Commonwealth,Oklahoma,North Carolina,USC,Indiana,Kentucky,Notre Dame,West Virginia,Wisconsin,Xavier
Kansas,Maryland,Miami FL,Villanova,Virginia,Purdue,Utah,Syracuse,Oregon,Duke,Texas A&M,VA Commonwealth,North Carolina,Kentucky,West Virginia,Xavier,,,,,,,,,,,,,,,,
Kansas,Villanova,Virginia,Utah,Oregon,Texas A&M,North Carolina,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,Virginia,Oregon,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
